Datum;Beginntum;Endetum;Kategorien
6.4.2016;09:30:00;11:45:00;ISO Zertifizierung smO (2990191)
6.4.2016;11:45:00;12:15:00;ISO Zertifizierung SWO Netz (2910667)
6.4.2016;12:30:00;16:00:00;ISO Zertifizierung smO (2990191)
7.4.2016;10:30:00;11:30:00;S-B - intern (901106)
6.4.2016;16:00:00;16:15:00;ISO Zertifizierung SWO Netz (2910667)
7.4.2016;08:30:00;09:00:00;S-B - intern (901106)
7.4.2016;09:00:00;09:45:00;ISO Zertifizierung SWO Netz (2910667)
7.4.2016;12:00:00;12:30:00;ISO Zertifizierung smO (2990191)
7.4.2016;13:00:00;16:00:00;S-B - intern (901106)
8.4.2016;08:50:00;11:30:00;S-B - intern (901106)
18.4.2016;13:30:00;14:30:00;S-B - intern (901106)
8.4.2016;12:30:00;14:30:00;S-B - intern (901106)
8.4.2016;15:00:00;15:15:00;S-B - intern (901106)
11.4.2016;08:00:00;11:30:00;E - MPM (2900041)
11.4.2016;12:30:00;13:00:00;S-B - intern (901106)
11.4.2016;13:00:00;14:00:00;ISO Zertifizierung smO (2990191)
11.4.2016;14:00:00;15:00:00;E - MPM (2900041)
11.4.2016;15:00:00;16:00:00;S-B - smartTT2.0 (901106)
11.4.2016;16:00:00;16:30:00;ISO Zertifizierung smO (2990191)
11.4.2016;16:30:00;17:00:00;S-B - smartTT2.0 (901106)
12.4.2016;08:00:00;08:30:00;S-B - intern (901106)
12.4.2016;08:30:00;09:00:00;S-B - intern (901106)
12.4.2016;09:30:00;11:00:00;ISO Zertifizierung smO (2990191)
12.4.2016;12:15:00;12:45:00;ISO Zertifizierung smO (2990191)
12.4.2016;11:00:00;11:30:00;E - smartTT
12.4.2016;12:45:00;13:30:00;S-B - smartTT2.0 (901106)
13.4.2016;08:00:00;11:00:00;S-B - intern (901106)
13.4.2016;11:00:00;11:30:00;ISO Zertifizierung smO (2990191)
13.4.2016;12:30:00;15:00:00;S-B - intern (901106)
13.4.2016;15:00:00;16:00:00;ISO Zertifizierung smO (2990191)
13.4.2016;16:00:00;17:00:00;S-B - intern (901106)
13.4.2016;17:00:00;17:30:00;ISO Zertifizierung smO (2990191)
14.4.2016;08:00:00;08:30:00;S-B - intern (901106)
14.4.2016;08:30:00;09:40:00;ISO Zertifizierung smO (2990191)
14.4.2016;09:40:00;10:00:00;S-B - intern (901106)
14.4.2016;10:00:00;11:20:00;ISO Zertifizierung smO (2990191)
14.4.2016;13:30:00;14:00:00;ISO Zertifizierung smO (2990191)
14.4.2016;14:00:00;15:00:00;ISO Zertifizierung smO (2990191)
14.4.2016;15:00:00;16:15:00;S-B - smartTT2.0 (901106)
14.4.2016;16:15:00;17:00:00;S-B - smartTT2.0 (901106)
15.4.2016;08:30:00;11:30:00;S-B - smartTT2.0 (901106)
15.4.2016;11:30:00;12:30:00;S-B - intern (901106)
15.4.2016;12:30:00;15:15:00;S-B - smartTT2.0 (901106)
18.4.2016;08:20:00;08:35:00;S-B - intern (901106)
18.4.2016;08:35:00;09:50:00;S-B - intern (901106)
18.4.2016;09:50:00;10:30:00;ISO Zertifizierung smO (2990191)
18.4.2016;14:30:00;15:00:00;ISO Zertifizierung smO (2990191)
18.4.2016;10:30:00;11:15:00;ISO Zertifizierung SWO Netz (2910667)
18.4.2016;11:15:00;11:30:00;Noch nicht zugeordnet
18.4.2016;12:30:00;13:30:00;S-B - intern (901106)
